customer_id,account_id,segment,home_country,tenure_days,age_band,avg_amount_90d,risk_tier,card_tokens,bound_device_ids,is_mule,ring_id
ALD-C000020,ALD-A000020,retail,PT,1584,18-25,23.94,standard,tok_K000024;tok_K000025,D000029,False,
ALD-C000021,ALD-A000021,business,PT,1079,18-25,167.5,standard,tok_K000026,D000030,False,
ALD-C000022,ALD-A000022,premium,PT,732,65+,69.82,standard,tok_K000027,D000031,False,
ALD-C000023,ALD-A000023,retail,PT,2893,26-35,43.72,standard,tok_K000028,D000032;D000033,False,
ALD-C000024,ALD-A000024,retail,PT,2300,26-35,29.45,standard,tok_K000029;tok_K000030,D000034;D000035,False,
ALD-C000025,ALD-A000025,student,PT,2605,26-35,22.52,standard,tok_K000031,D000036;D000037,False,
ALD-C000026,ALD-A000026,student,PT,1545,36-50,17.59,standard,tok_K000032,D000038,False,
ALD-C000027,ALD-A000027,retail,PT,2144,51-65,55.97,standard,tok_K000033,D000039,False,
ALD-C000028,ALD-A000028,premium,PT,3301,51-65,63.59,low,tok_K000034,D000040;D000041,False,
ALD-C000029,ALD-A000029,retail,PT,1111,26-35,27.56,standard,tok_K000035,D000042;D000043,False,
ALD-C000030,ALD-A000030,premium,PT,2780,51-65,124.97,low,tok_K000036,D000044,False,
ALD-C000031,ALD-A000031,retail,PT,165,18-25,17.69,standard,tok_K000037;tok_K000038,D000045,False,
ALD-C000032,ALD-A000032,retail,PT,2417,51-65,47.12,standard,tok_K000039,D000046;D000047,False,
ALD-C000033,ALD-A000033,retail,PT,3090,36-50,43.16,standard,tok_K000040,D000048,False,
ALD-C000034,ALD-A000034,premium,PT,1703,18-25,96.37,standard,tok_K000041,D000049,False,
ALD-C000035,ALD-A000035,student,PT,2620,36-50,13.91,standard,tok_K000042,D000050,False,
ALD-C000036,ALD-A000036,retail,PT,1109,26-35,34.34,standard,tok_K000043,D000051;D000052,False,
ALD-C000037,ALD-A000037,retail,PT,907,26-35,40.15,standard,tok_K000044;tok_K000045,D000053;D000054,False,
ALD-C000038,ALD-A000038,premium,PT,1388,36-50,104.93,standard,tok_K000046,D000055,False,
ALD-C000039,ALD-A000039,retail,PT,301,26-35,31.74,standard,tok_K000047,D000056,False,
ALD-C000040,ALD-A000040,retail,PT,184,26-35,28.3,standard,tok_K000048,D000057,False,
ALD-C000041,ALD-A000041,retail,PT,2630,18-25,47.91,standard,tok_K000049,D000058,False,
ALD-C000042,ALD-A000042,business,PT,2708,36-50,192.76,low,tok_K000050;tok_K000051,D000059,False,
ALD-C000043,ALD-A000043,retail,PT,3214,26-35,27.47,standard,tok_K000052;tok_K000053,D000060;D000061,False,
ALD-C000044,ALD-A000044,retail,PT,3441,18-25,40.64,standard,tok_K000054,D000062,False,
ALD-C000045,ALD-A000045,premium,PT,38,18-25,78.38,elevated,tok_K000055;tok_K000056,D000063;D000064,False,
ALD-C000046,ALD-A000046,retail,PT,403,18-25,37.58,standard,tok_K000057,D000065,False,
ALD-C000047,ALD-A000047,retail,PT,2943,36-50,22.18,standard,tok_K000058,D000066,False,
ALD-C000048,ALD-A000048,retail,PT,1579,51-65,34.28,standard,tok_K000059;tok_K000060,D000067,False,
ALD-C000049,ALD-A000049,student,PT,2883,36-50,31.99,standard,tok_K000061;tok_K000062,D000068,False,
ALD-C000050,ALD-A000050,retail,PT,1609,26-35,44.9,standard,tok_K000063,D000069,False,
ALD-C000051,ALD-A000051,premium,PT,164,26-35,81.78,standard,tok_K000064,D000070;D000071,False,
ALD-C000052,ALD-A000052,premium,PT,276,18-25,53.8,standard,tok_K000065,D000072,False,
ALD-C000053,ALD-A000053,business,PT,3391,26-35,83.88,low,tok_K000066,D000073;D000074,False,
ALD-C000054,ALD-A000054,retail,PT,3595,36-50,14.05,standard,tok_K000067,D000075;D000076,False,
ALD-C000055,ALD-A000055,retail,PT,1238,36-50,24.79,standard,tok_K000068;tok_K000069,D000077;D000078,False,
ALD-C000056,ALD-A000056,retail,PT,2293,26-35,48.03,standard,tok_K000070;tok_K000071,D000079,False,
ALD-C000057,ALD-A000057,premium,PT,1454,26-35,88.96,standard,tok_K000072,D000080;D000081,False,
ALD-C000058,ALD-A000058,student,PT,796,18-25,20.91,standard,tok_K000073,D000082;D000083,False,
ALD-C000059,ALD-A000059,business,PT,424,51-65,111.1,standard,tok_K000074,D000084,False,
ALD-C000060,ALD-A000060,retail,PT,2733,65+,42.68,standard,tok_K000075,D000085;D000086,False,
ALD-C000061,ALD-A000061,premium,PT,1288,36-50,48.21,standard,tok_K000076;tok_K000077,D000087;D000088,False,
ALD-C000062,ALD-A000062,premium,PT,2493,65+,116.37,low,tok_K000078;tok_K000079,D000089,False,
ALD-C000063,ALD-A000063,student,PT,1565,36-50,17.64,standard,tok_K000080,D000090,False,
ALD-C000064,ALD-A000064,premium,PT,2936,36-50,90.76,low,tok_K000081;tok_K000082,D000091,False,
ALD-C000065,ALD-A000065,retail,PT,3430,36-50,34.41,standard,tok_K000083,D000092,False,
ALD-C000066,ALD-A000066,student,PT,997,65+,17.95,standard,tok_K000084,D000093,False,
ALD-C000067,ALD-A000067,retail,PT,2956,36-50,44.89,standard,tok_K000085,D000094,False,
ALD-C000068,ALD-A000068,student,PT,654,51-65,18.76,standard,tok_K000086,D000095;D000096,False,
ALD-C000069,ALD-A000069,retail,PT,3088,65+,37.79,standard,tok_K000087,D000097,False,
ALD-C000070,ALD-A000070,premium,PT,3260,26-35,114.16,low,tok_K000088,D000098,False,
ALD-C000071,ALD-A000071,retail,PT,3067,51-65,43.04,standard,tok_K000089,D000099,False,
ALD-C000072,ALD-A000072,retail,PT,2898,18-25,27.91,standard,tok_K000090,D000100,False,
ALD-C000073,ALD-A000073,business,PT,2169,26-35,102.72,low,tok_K000091,D000101;D000102,False,
ALD-C000074,ALD-A000074,retail,PT,2402,36-50,21.93,standard,tok_K000092;tok_K000093,D000103;D000104,False,
ALD-C000075,ALD-A000075,premium,PT,406,36-50,83.46,standard,tok_K000094,D000105,False,
ALD-C000076,ALD-A000076,retail,PT,3555,65+,20.57,standard,tok_K000095,D000106;D000107,False,
ALD-C000077,ALD-A000077,retail,PT,874,26-35,24.52,standard,tok_K000096,D000108,False,
ALD-C000078,ALD-A000078,student,PT,423,65+,16.7,standard,tok_K000097,D000109;D000110,False,
ALD-C000079,ALD-A000079,retail,PT,2548,36-50,34.81,standard,tok_K000098;tok_K000099,D000111;D000112,False,
ALD-C000080,ALD-A000080,retail,PT,641,36-50,72.26,standard,tok_K000100,D000113;D000114,False,
ALD-C000081,ALD-A000081,retail,PT,1581,36-50,29.37,standard,tok_K000101,D000115;D000116,False,
ALD-C000082,ALD-A000082,student,PT,2061,26-35,14.51,standard,tok_K000102,D000117;D000118,False,
ALD-C000083,ALD-A000083,retail,PT,715,65+,34.28,standard,tok_K000103;tok_K000104,D000119,False,
ALD-C000084,ALD-A000084,retail,PT,1011,51-65,31.63,standard,tok_K000105,D000120,False,
ALD-C000085,ALD-A000085,business,PT,1786,18-25,143.53,standard,tok_K000106,D000121,False,
ALD-C000086,ALD-A000086,retail,PT,2592,51-65,43.64,standard,tok_K000107,D000122,False,
ALD-C000087,ALD-A000087,premium,PT,3059,18-25,96.18,low,tok_K000108,D000123,False,
ALD-C000088,ALD-A000088,retail,PT,3274,18-25,31.1,standard,tok_K000109,D000124;D000125,False,
ALD-C000089,ALD-A000089,retail,PT,2605,51-65,20.11,standard,tok_K000110;tok_K000111,D000126;D000127,False,
ALD-C000090,ALD-A000090,retail,PT,1656,65+,27.21,standard,tok_K000112;tok_K000113,D000128,False,
ALD-C000091,ALD-A000091,retail,PT,273,26-35,35.52,standard,tok_K000114,D000129,False,
ALD-C000092,ALD-A000092,retail,PT,176,36-50,45.13,standard,tok_K000115,D000130;D000131,False,
ALD-C000093,ALD-A000093,retail,PT,1126,26-35,37.85,standard,tok_K000116,D000132;D000133,False,
ALD-C000094,ALD-A000094,retail,PT,2241,51-65,28.9,standard,tok_K000117,D000134;D000135,False,
ALD-C000095,ALD-A000095,retail,PT,2649,36-50,23.45,standard,tok_K000118;tok_K000119,D000136,False,
ALD-C000096,ALD-A000096,retail,PT,3212,26-35,25.45,standard,tok_K000120,D000137,False,
ALD-C000097,ALD-A000097,retail,PT,327,18-25,44.14,standard,tok_K000121,D000138,False,
ALD-C000098,ALD-A000098,student,PT,453,26-35,14.73,standard,tok_K000122;tok_K000123,D000139,False,
ALD-C000099,ALD-A000099,premium,PT,3501,26-35,95.77,low,tok_K000124,D000140,False,
ALD-C000100,ALD-A000100,business,PT,1186,36-50,225.95,standard,tok_K000125,D000141,False,
ALD-C000101,ALD-A000101,retail,PT,412,26-35,56.96,standard,tok_K000126,D000142;D000143,False,
ALD-C000102,ALD-A000102,retail,PT,1262,36-50,25.12,standard,tok_K000127,D000144,False,
ALD-C000103,ALD-A000103,premium,PT,1345,26-35,74.11,standard,tok_K000128,D000145;D000146,False,
ALD-C000104,ALD-A000104,business,PT,2461,51-65,200.59,low,tok_K000129,D000147;D000148,False,
ALD-C000105,ALD-A000105,retail,PT,3327,18-25,54.91,standard,tok_K000130;tok_K000131,D000149;D000150,False,
ALD-C000106,ALD-A000106,premium,PT,2384,26-35,112.91,low,tok_K000132,D000151;D000152,False,
ALD-C000107,ALD-A000107,business,PT,345,51-65,115.57,standard,tok_K000133,D000153,False,
ALD-C000108,ALD-A000108,premium,PT,2203,36-50,48.78,low,tok_K000134,D000154,False,
ALD-C000109,ALD-A000109,premium,PT,1577,18-25,93.58,standard,tok_K000135,D000155;D000156,False,
ALD-C000110,ALD-A000110,retail,PT,1872,26-35,50.53,standard,tok_K000136,D000157,False,
ALD-C000111,ALD-A000111,premium,PT,805,26-35,101.31,standard,tok_K000137;tok_K000138,D000158,False,
ALD-C000112,ALD-A000112,business,PT,3518,26-35,113.32,low,tok_K000139;tok_K000140,D000159;D000160,False,
ALD-C000113,ALD-A000113,retail,PT,609,51-65,31.32,standard,tok_K000141,D000161,False,
ALD-C000114,ALD-A000114,retail,PT,1354,36-50,45.56,standard,tok_K000142,D000162;D000163,False,
ALD-C000115,ALD-A000115,retail,PT,735,36-50,34.73,standard,tok_K000143;tok_K000144,D000164,False,
ALD-C000116,ALD-A000116,business,PT,349,26-35,202.08,standard,tok_K000145,D000165,False,
ALD-C000117,ALD-A000117,retail,PT,2691,36-50,35.06,standard,tok_K000146,D000166,False,
ALD-C000118,ALD-A000118,retail,PT,3551,26-35,33.32,standard,tok_K000147,D000167,False,
ALD-C000119,ALD-A000119,student,PT,1003,51-65,27.72,standard,tok_K000148,D000168,False,
ALD-C000120,ALD-A000120,retail,PT,2731,18-25,23.5,standard,tok_K000149,D000169,False,
ALD-C000121,ALD-A000121,retail,PT,824,65+,23.34,standard,tok_K000150,D000170;D000171,False,
ALD-C000122,ALD-A000122,student,PT,3594,36-50,17.84,standard,tok_K000151;tok_K000152,D000172;D000173,False,
ALD-C000123,ALD-A000123,retail,PT,647,36-50,17.77,standard,tok_K000153,D000174,False,
ALD-C000124,ALD-A000124,student,PT,1049,51-65,16.58,standard,tok_K000154,D000175,False,
ALD-C000125,ALD-A000125,business,PT,3385,65+,96.49,low,tok_K000155,D000176;D000177,False,
ALD-C000126,ALD-A000126,retail,PT,2572,65+,30.09,standard,tok_K000156;tok_K000157,D000178,False,
ALD-C000127,ALD-A000127,retail,PT,3512,26-35,73.46,standard,tok_K000158,D000179,False,
ALD-C000128,ALD-A000128,business,PT,2749,18-25,192.47,low,tok_K000159;tok_K000160,D000180,False,
ALD-C000129,ALD-A000129,retail,PT,3594,18-25,32.45,standard,tok_K000161,D000181;D000182,False,
ALD-C000130,ALD-A000130,business,PT,161,65+,112.18,standard,tok_K000162,D000183;D000184,False,
ALD-C000131,ALD-A000131,business,PT,737,26-35,152.23,standard,tok_K000163,D000185;D000186,False,
ALD-C000132,ALD-A000132,retail,PT,955,26-35,35.94,standard,tok_K000164,D000187,False,
ALD-C000133,ALD-A000133,retail,PT,3531,26-35,21.37,standard,tok_K000165,D000188,False,
ALD-C000134,ALD-A000134,retail,PT,1909,36-50,52.33,standard,tok_K000166,D000189,False,
ALD-C000135,ALD-A000135,retail,PT,765,65+,36.59,standard,tok_K000167,D000190;D000191,False,
ALD-C000136,ALD-A000136,retail,PT,2888,36-50,54.72,standard,tok_K000168,D000192,False,
ALD-C000137,ALD-A000137,retail,PT,734,18-25,43.39,standard,tok_K000169,D000193,False,
ALD-C000138,ALD-A000138,business,PT,2719,36-50,64.17,low,tok_K000170,D000194;D000195,False,
ALD-C000139,ALD-A000139,retail,PT,1146,26-35,32.52,standard,tok_K000171;tok_K000172,D000196;D000197,False,
ALD-C000140,ALD-A000140,student,PT,3027,26-35,20.34,standard,tok_K000173;tok_K000174,D000198,False,
ALD-C000141,ALD-A000141,retail,PT,611,36-50,27.57,standard,tok_K000175,D000199,False,
ALD-C000142,ALD-A000142,retail,PT,422,51-65,35.64,standard,tok_K000176,D000200;D000201,False,
ALD-C000143,ALD-A000143,retail,PT,540,65+,65.17,standard,tok_K000177,D000202;D000203,False,
ALD-C000144,ALD-A000144,student,PT,3127,36-50,19.47,standard,tok_K000178;tok_K000179,D000204;D000205,False,
ALD-C000145,ALD-A000145,student,PT,2574,51-65,22.73,standard,tok_K000180;tok_K000181,D000206;D000207,False,
ALD-C000146,ALD-A000146,retail,PT,2109,36-50,30.24,standard,tok_K000182,D000208,False,
ALD-C000147,ALD-A000147,premium,PT,1266,26-35,105.52,standard,tok_K000183,D000209;D000210,False,
ALD-C000148,ALD-A000148,student,PT,3474,26-35,17.4,standard,tok_K000184;tok_K000185,D000211;D000212,False,
ALD-C000149,ALD-A000149,retail,PT,1320,26-35,36.15,standard,tok_K000186,D000213;D000214,False,
ALD-C000150,ALD-A000150,retail,PT,1627,18-25,58.28,standard,tok_K000187;tok_K000188,D000215,False,
ALD-C000151,ALD-A000151,retail,PT,3037,26-35,37.27,standard,tok_K000189;tok_K000190,D000216;D000217,False,
ALD-C000152,ALD-A000152,retail,PT,340,18-25,36.56,standard,tok_K000191,D000218;D000219,False,
ALD-C000153,ALD-A000153,student,PT,722,26-35,26.14,standard,tok_K000192;tok_K000193,D000220,False,
ALD-C000154,ALD-A000154,business,PT,1558,51-65,253.78,standard,tok_K000194,D000221;D000222,False,
ALD-C000155,ALD-A000155,retail,PT,2857,26-35,58.92,standard,tok_K000195;tok_K000196,D000223,False,
ALD-C000156,ALD-A000156,retail,PT,1297,65+,25.38,standard,tok_K000197;tok_K000198,D000224;D000225,False,
ALD-C000157,ALD-A000157,retail,PT,1399,36-50,58.9,standard,tok_K000199,D000226,False,
ALD-C000158,ALD-A000158,retail,PT,80,51-65,24.95,elevated,tok_K000200,D000227,False,
ALD-C000159,ALD-A000159,business,PT,598,18-25,139.72,standard,tok_K000201;tok_K000202,D000228,False,
ALD-C000160,ALD-A000160,retail,PT,2860,26-35,33.41,standard,tok_K000203;tok_K000204,D000229;D000230,False,
ALD-C000161,ALD-A000161,business,PT,2101,36-50,204.13,low,tok_K000205,D000231,False,
ALD-C000162,ALD-A000162,retail,PT,2192,36-50,14.06,standard,tok_K000206;tok_K000207,D000232;D000233,False,
ALD-C000163,ALD-A000163,retail,PT,2529,26-35,22.13,standard,tok_K000208;tok_K000209,D000234;D000235,False,
ALD-C000164,ALD-A000164,business,PT,713,26-35,124.45,standard,tok_K000210,D000236;D000237,False,
ALD-C000165,ALD-A000165,retail,PT,2581,18-25,38.62,standard,tok_K000211;tok_K000212,D000238,False,
ALD-C000166,ALD-A000166,retail,PT,1755,26-35,29.59,standard,tok_K000213,D000239,False,
ALD-C000167,ALD-A000167,student,PT,3025,26-35,17.6,standard,tok_K000214,D000240,False,
ALD-C000168,ALD-A000168,premium,PT,3408,51-65,79.59,low,tok_K000215;tok_K000216,D000241;D000242,False,
ALD-C000169,ALD-A000169,premium,PT,2604,26-35,96.67,low,tok_K000217;tok_K000218,D000243;D000244,False,
ALD-C000170,ALD-A000170,retail,PT,534,18-25,58.56,standard,tok_K000219,D000245,False,
ALD-C000171,ALD-A000171,retail,PT,736,26-35,18.15,standard,tok_K000220,D000246;D000247,False,
ALD-C000172,ALD-A000172,retail,PT,2998,51-65,42.93,standard,tok_K000221,D000248,False,
ALD-C000173,ALD-A000173,retail,PT,563,26-35,32.46,standard,tok_K000222,D000249;D000250,False,
ALD-C000174,ALD-A000174,retail,PT,3440,26-35,34.13,standard,tok_K000223,D000251,False,
ALD-C000175,ALD-A000175,retail,PT,1505,36-50,49.74,standard,tok_K000224,D000252,False,
ALD-C000176,ALD-A000176,business,PT,1481,36-50,105.82,standard,tok_K000225;tok_K000226,D000253;D000254,False,
ALD-C000177,ALD-A000177,retail,PT,3082,26-35,24.41,standard,tok_K000227,D000255;D000256,False,
ALD-C000178,ALD-A000178,student,PT,2802,36-50,23.52,standard,tok_K000228,D000257;D000258,False,
ALD-C000179,ALD-A000179,premium,PT,765,51-65,69.57,standard,tok_K000229,D000259,False,
ALD-C000180,ALD-A000180,premium,PT,2050,36-50,69.52,low,tok_K000230,D000260;D000261,False,
ALD-C000181,ALD-A000181,student,PT,3083,65+,19.03,standard,tok_K000231,D000262,False,
ALD-C000182,ALD-A000182,student,PT,1718,36-50,20.77,standard,tok_K000232,D000263,False,
ALD-C000183,ALD-A000183,premium,PT,1476,36-50,93.07,standard,tok_K000233,D000264;D000265,False,
ALD-C000184,ALD-A000184,student,PT,3144,51-65,41.08,standard,tok_K000234;tok_K000235,D000266,False,
ALD-C000185,ALD-A000185,retail,PT,2453,26-35,24.17,standard,tok_K000236;tok_K000237,D000267;D000268,False,
ALD-C000186,ALD-A000186,student,PT,229,51-65,19.36,standard,tok_K000238,D000269;D000270,False,
ALD-C000187,ALD-A000187,retail,PT,1394,18-25,32.26,standard,tok_K000239,D000271,False,
ALD-C000188,ALD-A000188,retail,PT,597,51-65,34.53,standard,tok_K000240,D000272,False,
ALD-C000189,ALD-A000189,retail,PT,3233,18-25,23.65,standard,tok_K000241,D000273,False,
ALD-C000190,ALD-A000190,retail,PT,3085,36-50,43.72,standard,tok_K000242,D000274;D000275,False,
ALD-C000191,ALD-A000191,business,PT,127,26-35,158.87,standard,tok_K000243,D000276,False,
ALD-C000192,ALD-A000192,retail,PT,2466,18-25,16.97,standard,tok_K000244,D000277,False,
ALD-C000193,ALD-A000193,premium,PT,1941,26-35,103.0,low,tok_K000245;tok_K000246,D000278,False,
ALD-C000194,ALD-A000194,retail,PT,538,65+,40.45,standard,tok_K000247,D000279,False,
ALD-C000195,ALD-A000195,student,PT,2896,51-65,15.57,standard,tok_K000248;tok_K000249,D000280;D000281,False,
ALD-C000196,ALD-A000196,retail,PT,1943,36-50,55.35,standard,tok_K000250,D000282;D000283,False,
ALD-C000197,ALD-A000197,retail,PT,2656,26-35,30.55,standard,tok_K000251,D000284;D000285,False,
ALD-C000198,ALD-A000198,premium,PT,2122,36-50,44.37,low,tok_K000252;tok_K000253,D000286;D000287,False,
ALD-C000199,ALD-A000199,business,PT,1450,51-65,187.6,standard,tok_K000254,D000288;D000289,False,
ALD-C000200,ALD-A000200,retail,PT,3575,36-50,49.41,standard,tok_K000255,D000290,False,
